Response ID,Gender,Industry,Year,Occupation,Policy,HowmuchWork,WhichDays,AllowRemote,Encouraged,WellPrepared,Common,Permission,Collaborate
82,Female,"Rental, Hiring and Real Estate",1970,Managers - Specialist Managers,4,5,4,3,3,3,2,3,4
83,Male,"Transport, Postal and Warehousing",1965,Clerical and administrative workers - General Clerical Workers,4,4,4,4,4,4,4,4,4
84,Female,Retail Trade,1976,"Managers - Chief Executives, General Managers and Legislators",3,3,4,5,1,4,2,4,3
85,Male,"Professional, Scientific and Technical",1957,"Professionals - Business, Human Resource and Marketing Professionals",5,5,5,5,3,5,5,5,5
86,Female,Public Administration and Safety,1986,Managers - Specialist Managers,1,1,1,1,2,5,4,1,5
87,Female,"Rental, Hiring and Real Estate",1986,Professionals - Education Professionals,4,3,4,5,4,4,5,5,4
88,Female,"Professional, Scientific and Technical",1991,"Professionals - Business, Human Resource and Marketing Professionals",3,3,4,5,3,4,2,5,4
89,Male,Construction,1965,Technicians and trades workers - Construction Trades Workers,5,3,1,1,5,3,4,5,5
90,Male,Education and Training,1972,Managers - Specialist Managers,3,4,4,3,2,2,2,4,2
91,Female,Manufacturing,1962,Managers - Specialist Managers,1,1,1,5,1,1,1,1,1
92,Female,Wholesale Trade,1993,Clerical and administrative workers - Office Managers and Program Administrators,4,3,3,2,3,3,3,3,3
93,Male,Public Administration and Safety,1973,"Professionals - Legal, Social and Welfare Professionals",2,4,3,4,4,4,5,4,3
94,Male,Information Media and Telecommunications,1983,Professionals - ICT Professionals,4,3,4,4,4,4,3,4,4
95,Female,"Professional, Scientific and Technical",1966,"Professionals - Business, Human Resource and Marketing Professionals",4,5,5,1,5,3,5,5,4
96,Female,Accommodation and Food,1990,"Managers - Hospitality, Retail and Service Managers",5,5,5,5,5,4,4,4,4
97,Female,Administrative and Support,1995,Managers - Farmers and Farm Managers,4,3,4,2,1,2,3,2,1
98,Female,Accommodation and Food,1957,"Managers - Chief Executives, General Managers and Legislators",5,5,5,3,4,5,3,5,4
99,Male,Financial and Insurance,1970,Clerical and administrative workers - General Clerical Workers,3,3,4,2,3,3,3,4,4
100,Male,Retail Trade,1980,"Managers - Hospitality, Retail and Service Managers",5,3,4,5,4,3,5,5,4
101,Female,Education and Training,1978,Professionals - Education Professionals,4,5,4,3,4,3,4,5,4
102,Female,"Electricity, Gas, Water and Waste",1997,Community and personal service workers - Hospitality Workers,2,1,1,2,1,3,2,3,2
103,Female,Other Services,1976,Clerical and administrative workers - Personal Assistants and Secretaries,5,4,4,5,5,4,4,5,4
104,Female,Financial and Insurance,1975,Clerical and administrative workers - General Clerical Workers,5,5,5,5,5,5,5,5,5
105,Female,Other Services,1993,Professionals - Arts and Media Professionals,2,2,2,3,5,4,5,4,4
106,Female,Retail Trade,1992,Sales workers - Sales Assistants and Salespersons,3,4,4,2,1,3,3,2,1
107,Female,Retail Trade,1969,"Managers - Hospitality, Retail and Service Managers",4,4,4,4,4,4,4,4,4
108,Female,Financial and Insurance,1986,"Professionals - Legal, Social and Welfare Professionals",5,5,4,2,2,4,4,5,5
109,Female,Accommodation and Food,1978,"Managers - Chief Executives, General Managers and Legislators",5,4,5,4,5,4,4,4,4
110,Female,"Professional, Scientific and Technical",1992,"Professionals - Design, Engineering, Science and Transport Professionals",5,4,5,5,5,5,5,5,4
111,Female,Construction,1995,Managers - Specialist Managers,4,3,3,4,3,4,4,4,4
112,Female,"Transport, Postal and Warehousing",1984,"Professionals - Design, Engineering, Science and Transport Professionals",4,2,2,5,5,2,5,5,3
113,Female,Retail Trade,1998,"Managers - Hospitality, Retail and Service Managers",3,3,3,3,3,3,3,3,3
114,Female,Financial and Insurance,1987,Clerical and administrative workers - Other Clerical and Administrative Workers,3,4,4,4,4,3,4,4,4
115,Male,Financial and Insurance,1974,Managers - Specialist Managers,4,4,4,5,3,5,5,4,5
116,Female,Retail Trade,1986,"Managers - Hospitality, Retail and Service Managers",4,3,4,4,4,3,4,4,3
117,Female,Health Care and Social Assistance,1977,Professionals - Health Professionals,4,3,5,4,3,4,3,5,3
118,Male,Other Services,1989,Clerical and administrative workers - General Clerical Workers,5,4,4,4,2,4,4,4,4
119,Male,Information Media and Telecommunications,1983,Professionals - ICT Professionals,3,3,3,3,3,4,5,5,5
120,Female,Public Administration and Safety,1999,Clerical and administrative workers - Clerical and Office Support Workers,5,1,1,5,5,5,5,5,5
121,Female,Information Media and Telecommunications,1981,"Professionals - Business, Human Resource and Marketing Professionals",4,4,4,4,3,4,4,2,4
122,Male,Education and Training,1971,"Managers - Chief Executives, General Managers and Legislators",5,5,5,5,5,5,5,5,3
123,Female,Education and Training,1986,Managers - Specialist Managers,4,5,5,2,5,5,5,5,5
124,Male,Financial and Insurance,1981,Managers - Specialist Managers,4,5,4,4,5,4,4,4,4
125,Male,Accommodation and Food,1978,"Managers - Hospitality, Retail and Service Managers",4,4,5,5,4,4,4,5,4
126,Male,Health Care and Social Assistance,1995,"Managers - Hospitality, Retail and Service Managers",4,4,4,4,3,3,3,4,3
127,Male,Information Media and Telecommunications,1972,Managers - Specialist Managers,4,5,5,5,5,3,2,3,5
128,Male,Manufacturing,1992,Machinery operators and drivers - Storepersons,2,2,3,2,3,3,4,3,3
129,Male,Retail Trade,1980,"Managers - Chief Executives, General Managers and Legislators",4,4,3,5,5,3,4,5,3
130,Male,Financial and Insurance,1979,Managers - Specialist Managers,4,4,4,4,4,2,2,2,2
131,Female,Health Care and Social Assistance,1992,Clerical and administrative workers - General Clerical Workers,3,3,3,4,2,3,4,4,3
132,Male,"Professional, Scientific and Technical",1968,Professionals - ICT Professionals,4,5,5,3,5,5,5,5,5
133,Male,Retail Trade,1999,Sales workers - Sales Assistants and Salespersons,3,1,1,1,3,3,3,3,3
134,Female,Administrative and Support,1998,Sales workers - Sales Representatives and Agents,2,1,1,4,4,4,4,4,4
135,Female,Financial and Insurance,1996,"Professionals - Business, Human Resource and Marketing Professionals",5,5,5,2,5,5,4,5,2
136,Female,Education and Training,1986,Professionals - Education Professionals,3,4,2,5,1,2,1,2,2
137,Male,Retail Trade,1980,"Managers - Chief Executives, General Managers and Legislators",4,5,5,4,4,5,4,4,3
138,Female,Other Services,1999,Sales workers - Sales Assistants and Salespersons,5,5,5,5,1,5,1,5,5
139,Male,Public Administration and Safety,1966,"Professionals - Business, Human Resource and Marketing Professionals",5,4,4,5,3,5,4,4,5
140,Male,Accommodation and Food,1993,Technicians and trades workers - Food Trades Workers,4,1,4,4,4,4,4,4,4
141,Male,Construction,1981,"Managers - Chief Executives, General Managers and Legislators",4,3,4,5,3,3,4,4,4
142,Female,Financial and Insurance,1993,"Professionals - Business, Human Resource and Marketing Professionals",4,4,4,4,4,4,5,5,5
143,Male,Administrative and Support,1990,Clerical and administrative workers - Office Managers and Program Administrators,5,3,3,3,4,3,4,3,4
144,Female,Retail Trade,1999,Machinery operators and drivers - Storepersons,3,1,1,3,1,1,3,1,2
145,Male,Education and Training,1983,Managers - Specialist Managers,4,4,4,4,4,4,4,4,4
146,Female,"Rental, Hiring and Real Estate",1995,Clerical and administrative workers - Inquiry Clerks and Receptionists,4,3,3,2,3,3,3,3,3
147,Female,Health Care and Social Assistance,1988,Community and personal service workers - Health and Welfare Support Workers,1,2,4,1,1,1,1,1,5
148,Female,Construction,1989,Labourers - Construction and Mining Labourers,4,4,3,4,3,2,3,3,3
149,Male,Retail Trade,1992,Managers - Specialist Managers,5,5,5,2,4,4,4,5,4
150,Female,"Professional, Scientific and Technical",1991,"Professionals - Business, Human Resource and Marketing Professionals",3,1,4,5,2,4,4,2,3
151,Female,Manufacturing,1990,"Professionals - Business, Human Resource and Marketing Professionals",3,2,2,4,4,4,4,3,5
152,Female,Construction,1992,Clerical and administrative workers - Office Managers and Program Administrators,5,5,4,4,4,4,4,5,4
153,Male,"Professional, Scientific and Technical",1979,"Technicians and trades workers - Engineering, ICT and Science Technicians",4,2,4,5,4,5,2,4,4
154,Male,Retail Trade,1990,Managers - Specialist Managers,4,5,4,5,4,4,5,4,5
155,Female,Retail Trade,1982,"Professionals - Business, Human Resource and Marketing Professionals",4,3,4,3,4,4,4,3,4
156,Male,Information Media and Telecommunications,1980,Managers - Specialist Managers,4,2,4,3,3,2,2,2,2
157,Male,Retail Trade,1990,Managers - Specialist Managers,5,4,4,5,3,4,4,5,5
158,Female,Retail Trade,1999,"Managers - Hospitality, Retail and Service Managers",3,1,1,3,3,3,3,3,3
159,Male,Financial and Insurance,1994,"Professionals - Business, Human Resource and Marketing Professionals",3,1,2,4,4,5,4,5,5
160,Male,Administrative and Support,1985,"Managers - Chief Executives, General Managers and Legislators",5,5,5,4,4,4,4,3,4
161,Male,Administrative and Support,1977,Clerical and administrative workers - Clerical and Office Support Workers,5,4,3,4,4,4,4,4,4
162,Female,Health Care and Social Assistance,1994,"Professionals - Legal, Social and Welfare Professionals",1,2,1,5,5,5,4,5,5
163,Female,Arts and Recreation,1984,Clerical and administrative workers - General Clerical Workers,3,3,4,3,3,3,3,3,3
164,Male,Financial and Insurance,1984,"Managers - Chief Executives, General Managers and Legislators",5,3,3,3,4,4,4,4,4
165,Male,Financial and Insurance,1994,"Professionals - Business, Human Resource and Marketing Professionals",4,2,3,2,4,4,4,5,2
166,Male,Information Media and Telecommunications,1995,Professionals - ICT Professionals,5,5,4,4,4,5,4,5,5
167,Male,Construction,1995,Technicians and trades workers - Construction Trades Workers,3,3,3,3,3,3,3,3,3
168,Female,Information Media and Telecommunications,1990,Sales workers - Sales Support Workers,4,4,4,3,4,4,5,4,4
169,Male,Arts and Recreation,1987,Managers - Specialist Managers,4,4,4,5,5,3,4,5,5
170,Male,Public Administration and Safety,1973,"Professionals - Legal, Social and Welfare Professionals",2,1,4,3,4,3,3,2,4
171,Male,"Professional, Scientific and Technical",1974,Managers - Specialist Managers,3,3,5,5,4,4,5,4,5
172,Male,Construction,1985,"Managers - Chief Executives, General Managers and Legislators",3,3,4,5,3,4,4,4,4
173,Female,Construction,1992,Clerical and administrative workers - Other Clerical and Administrative Workers,1,1,1,5,1,4,2,2,5
174,Female,Financial and Insurance,1983,Clerical and administrative workers - Other Clerical and Administrative Workers,4,4,4,4,4,4,2,4,4
175,Female,Retail Trade,1976,"Managers - Chief Executives, General Managers and Legislators",3,4,4,4,2,5,1,4,2
176,Female,Education and Training,2001,Professionals - Education Professionals,4,4,4,4,2,2,2,2,3
177,Male,"Professional, Scientific and Technical",1996,Community and personal service workers - Protective Service Workers,1,5,5,3,3,3,3,4,5
178,Male,"Electricity, Gas, Water and Waste",1987,Professionals - Arts and Media Professionals,4,4,3,2,2,2,3,1,4
179,Male,Public Administration and Safety,1973,"Professionals - Design, Engineering, Science and Transport Professionals",4,3,4,4,3,4,4,4,4
180,Male,Other Services,1963,"Professionals - Design, Engineering, Science and Transport Professionals",5,5,5,5,1,1,1,1,1
181,Female,Retail Trade,1997,Technicians and trades workers - Skilled Animal and Horticultural Workers,4,4,4,3,3,3,4,5,4
182,Female,Public Administration and Safety,1986,Managers - Specialist Managers,1,1,1,3,5,4,2,1,5
183,Female,"Rental, Hiring and Real Estate",1981,Sales workers - Sales Representatives and Agents,3,3,3,3,3,3,3,3,3
184,Female,Retail Trade,1988,"Managers - Chief Executives, General Managers and Legislators",5,2,5,4,3,3,3,4,2
185,Female,"Professional, Scientific and Technical",1984,"Managers - Chief Executives, General Managers and Legislators",4,4,5,4,1,5,4,5,5
186,Female,Other Services,1994,Professionals - Health Professionals,3,1,1,5,5,2,5,5,1
187,Female,Financial and Insurance,1990,"Professionals - Business, Human Resource and Marketing Professionals",1,1,1,5,2,3,4,2,4
188,Male,Construction,1980,Technicians and trades workers - Other Technicians and Trades Workers,5,1,1,1,5,5,1,5,5
189,Female,Administrative and Support,1997,Technicians and trades workers - Construction Trades Workers,5,4,1,2,5,5,5,5,4
190,Female,Education and Training,1979,Professionals - Education Professionals,1,1,1,5,1,1,1,1,5
191,Male,Other Services,1988,"Managers - Chief Executives, General Managers and Legislators",4,5,5,4,5,4,5,4,4
192,Female,"Professional, Scientific and Technical",1960,"Professionals - Design, Engineering, Science and Transport Professionals",5,4,2,4,4,3,5,4,4
193,Female,Financial and Insurance,1974,Clerical and administrative workers - Numerical Clerks,3,2,3,4,3,4,4,4,2
194,Female,Education and Training,2002,Sales workers - Sales Support Workers,2,3,3,2,3,3,3,2,5
195,Female,"Professional, Scientific and Technical",2000,Clerical and administrative workers - Other Clerical and Administrative Workers,1,1,1,5,1,1,1,2,4
196,Female,Information Media and Telecommunications,1980,Professionals - ICT Professionals,4,4,3,4,4,4,4,4,5
197,Female,Retail Trade,1974,"Managers - Hospitality, Retail and Service Managers",5,5,5,5,3,3,3,3,3
198,Female,Information Media and Telecommunications,1972,"Professionals - Business, Human Resource and Marketing Professionals",5,5,5,2,5,5,5,5,5
199,Female,Retail Trade,1973,Sales workers - Sales Assistants and Salespersons,4,3,2,3,3,3,3,3,4
200,Male,"Professional, Scientific and Technical",1996,Professionals - ICT Professionals,2,3,1,1,2,3,1,1,4
201,Female,"Professional, Scientific and Technical",1984,"Professionals - Business, Human Resource and Marketing Professionals",4,4,5,4,5,4,4,5,4
202,Female,Administrative and Support,1971,Clerical and administrative workers - Personal Assistants and Secretaries,5,5,5,4,5,5,5,5,5
203,Female,Arts and Recreation,1977,Professionals - Arts and Media Professionals,5,5,5,3,5,5,5,5,5
204,Male,Public Administration and Safety,1974,Clerical and administrative workers - Office Managers and Program Administrators,5,5,5,3,5,4,5,5,4
205,Male,Other Services,1958,"Managers - Chief Executives, General Managers and Legislators",3,2,4,5,2,1,3,2,3
206,Female,"Professional, Scientific and Technical",1984,"Professionals - Design, Engineering, Science and Transport Professionals",5,4,3,4,4,4,3,3,5
207,Female,Financial and Insurance,1957,Clerical and administrative workers - Clerical and Office Support Workers,4,4,4,4,5,4,4,4,4
208,Male,Information Media and Telecommunications,1989,Professionals - ICT Professionals,4,5,4,4,5,5,5,5,5
209,Female,"Agriculture, Forestry and Fishing",1988,Community and personal service workers - Health and Welfare Support Workers,3,4,2,2,3,4,2,3,3
210,Male,Information Media and Telecommunications,1990,"Managers - Chief Executives, General Managers and Legislators",1,2,3,2,4,2,3,3,2
211,Female,Wholesale Trade,1974,Clerical and administrative workers - Personal Assistants and Secretaries,3,3,4,5,3,2,2,4,4
212,Female,Information Media and Telecommunications,1990,Professionals - ICT Professionals,4,3,3,3,2,4,5,2,1
213,Male,Arts and Recreation,1964,Managers - Specialist Managers,2,2,4,4,2,2,2,2,4
214,Male,Financial and Insurance,1960,"Professionals - Business, Human Resource and Marketing Professionals",5,5,5,1,5,5,5,5,1
215,Female,Information Media and Telecommunications,1996,Managers - Specialist Managers,5,5,5,2,4,5,4,5,4
216,Female,"Professional, Scientific and Technical",1963,Professionals - Health Professionals,1,2,4,5,4,5,4,4,5
217,Male,Information Media and Telecommunications,1970,"Professionals - Design, Engineering, Science and Transport Professionals",5,4,4,2,3,5,5,5,5
218,Female,"Electricity, Gas, Water and Waste",1987,Sales workers - Sales Assistants and Salespersons,3,4,3,2,3,2,4,3,4
219,Female,Financial and Insurance,1980,"Professionals - Business, Human Resource and Marketing Professionals",4,2,3,4,4,4,4,4,4
220,Female,Financial and Insurance,1978,Managers - Specialist Managers,4,4,4,5,4,4,4,4,4
221,Female,"Transport, Postal and Warehousing",1994,Clerical and administrative workers - General Clerical Workers,2,1,1,5,5,5,4,4,5
222,Male,"Professional, Scientific and Technical",1964,Sales workers - Sales Representatives and Agents,5,3,3,5,4,5,4,5,2
223,Male,Retail Trade,1987,Community and personal service workers - Hospitality Workers,1,4,3,3,4,2,2,2,2
224,Male,"Professional, Scientific and Technical",1973,Professionals - ICT Professionals,5,5,5,4,3,4,2,5,4
225,Female,Information Media and Telecommunications,1990,Professionals - ICT Professionals,5,4,5,4,5,5,5,5,5
226,Female,Health Care and Social Assistance,1958,Technicians and trades workers - Other Technicians and Trades Workers,5,5,5,4,4,5,5,5,4
227,Female,Health Care and Social Assistance,1969,Community and personal service workers - Health and Welfare Support Workers,4,2,3,4,4,4,4,4,4
228,Male,Financial and Insurance,1979,"Managers - Chief Executives, General Managers and Legislators",4,4,4,4,4,4,2,4,2
229,Female,Manufacturing,1991,"Managers - Chief Executives, General Managers and Legislators",5,4,4,4,5,5,5,4,4
230,Male,Manufacturing,1985,Sales workers - Sales Representatives and Agents,3,4,5,4,4,4,4,5,5
231,Male,Other Services,1988,Labourers - Other Labourers,3,1,1,5,4,3,4,3,3
232,Female,Construction,1961,Clerical and administrative workers - Numerical Clerks,5,5,5,5,5,4,2,5,5
233,Female,Administrative and Support,1970,Clerical and administrative workers - Clerical and Office Support Workers,4,5,4,4,4,5,4,4,5
234,Female,Financial and Insurance,1982,"Professionals - Business, Human Resource and Marketing Professionals",4,2,3,5,5,5,5,4,5
235,Male,Construction,1980,Managers - Farmers and Farm Managers,2,2,4,3,4,5,3,4,5
236,Female,Other Services,1986,Technicians and trades workers - Other Technicians and Trades Workers,5,5,5,1,4,5,5,4,4
237,Male,"Professional, Scientific and Technical",1991,"Professionals - Business, Human Resource and Marketing Professionals",5,3,4,4,1,1,3,5,3
238,Male,Education and Training,1986,Professionals - Education Professionals,5,4,4,3,3,4,3,4,4
239,Female,"Agriculture, Forestry and Fishing",2001,Professionals - Education Professionals,2,2,1,2,3,2,2,2,2
240,Male,Construction,1980,"Professionals - Business, Human Resource and Marketing Professionals",4,4,4,5,4,4,4,4,3
241,Male,Information Media and Telecommunications,1970,"Managers - Hospitality, Retail and Service Managers",2,1,1,2,5,5,5,5,4
242,Female,"Transport, Postal and Warehousing",1983,Clerical and administrative workers - Other Clerical and Administrative Workers,2,2,2,2,2,1,4,1,2
243,Male,Financial and Insurance,1978,Managers - Specialist Managers,4,5,5,4,5,5,5,4,4
244,Female,Manufacturing,1962,Managers - Specialist Managers,3,1,1,5,1,5,1,3,1
245,Female,Retail Trade,1994,Managers - Specialist Managers,3,4,4,2,4,4,2,2,4
246,Male,Financial and Insurance,1979,Managers - Specialist Managers,4,5,5,4,5,4,4,5,4
247,Female,Financial and Insurance,1964,Clerical and administrative workers - Clerical and Office Support Workers,4,2,2,2,2,2,2,2,2
248,Female,Financial and Insurance,1964,Clerical and administrative workers - Clerical and Office Support Workers,4,4,3,4,4,4,4,4,4
249,Female,Financial and Insurance,1965,Clerical and administrative workers - General Clerical Workers,3,3,4,4,3,4,4,4,4
250,Female,Health Care and Social Assistance,1996,Professionals - Health Professionals,3,4,3,3,4,3,5,4,5
251,Female,Wholesale Trade,1964,Clerical and administrative workers - Clerical and Office Support Workers,5,4,5,4,5,5,3,5,4
252,Female,Other Services,1985,"Professionals - Business, Human Resource and Marketing Professionals",4,5,5,5,2,5,4,4,5
253,Male,Information Media and Telecommunications,1980,"Managers - Chief Executives, General Managers and Legislators",5,5,5,5,5,5,5,5,5
254,Female,Health Care and Social Assistance,1993,Community and personal service workers - Health and Welfare Support Workers,4,5,2,4,5,5,5,5,5
