Response ID,What is your gender?  ,Which of the following best describes your industry?  ,Which of the following best describes your current occupation?  ,"Thinking about your employer’s policy on remote working, how strongly do you agree or disagree with the following statements? My employer’s remote working policy suits me","Thinking about your employer’s policy on remote working, how strongly do you agree or disagree with the following statements? I get to choose how much work I do remotely","Thinking about your employer’s policy on remote working, how strongly do you agree or disagree with the following statements? I choose which days I work remotely","Thinking about your employer’s policy on remote working, how strongly do you agree or disagree with the following statements? My direct manager has discretion to allow or deny remote work","Thinking about remote working in the last 6 months, how strongly do you agree or disagree with the following statements? My organization encouraged people to work remotely","Thinking about remote working in the last 6 months, how strongly do you agree or disagree with the following statements? My organization was well prepared for me to work remotely","Thinking about remote working in the last 6 months, how strongly do you agree or disagree with the following statements? It was common for people in my organization to work remotely","Thinking about remote working in the last 6 months, how strongly do you agree or disagree with the following statements? t was easy to get permission to work remotely","Thinking about remote working in the last 6 months, how strongly do you agree or disagree with the following statements? I could easily collaborate with colleagues when working remotely","Think about your experience this year. On a day when you attend your employer's workplace, how many hours would you spend doing the following activities? Preparing for work and commuting","Think about your experience this year. On a day when you attend your employer's workplace, how many hours would you spend doing the following activities? Working","Think about your experience this year. On a day when you attend your employer's workplace, how many hours would you spend doing the following activities? Caring and domestic responsibilities","Think about your experience this year. On a day when you attend your employer's workplace, how many hours would you spend doing the following activities? Personal and family time","Think about your experience this year. On a day when you attend your employer's workplace, how many hours would you spend doing the following activities? Sleep","Think about your experience this year. On a day when you work remotely, how many hours would you spend doing the following activities? Preparing for work and commuting","Think about your experience this year. On a day when you work remotely, how many hours would you spend doing the following activities? Working","Think about your experience this year. On a day when you work remotely, how many hours would you spend doing the following activities? Caring and domestic responsibilities","Think about your experience this year. On a day when you work remotely, how many hours would you spend doing the following activities? Personal and family time","Think about your experience this year. On a day when you work remotely, how many hours would you spend doing the following activities? Sleep"
14,Female,Administrative and Support,Clerical and administrative workers - General Clerical Workers,1,1,1,1,1,4,5,1,2,2.5,8,2,3.5,8,0,8,3,4,9
15,Male,"Professional, Scientific and Technical",Professionals - Health Professionals,4,4,5,4,4,4,5,4,4,1,11,2,1,9,0,12,2,2,8
16,Male,Education and Training,Professionals - Education Professionals,2,2,2,2,4,2,4,4,2,3,8,3,2,8,2,8,3,3,8
17,Female,Retail Trade,"Managers - Hospitality, Retail and Service Managers",3,3,4,3,4,4,4,4,4,5,5,5,5,4,5,5,5,5,4
18,Female,Administrative and Support,"Managers - Chief Executives, General Managers and Legislators",5,3,4,4,5,5,5,5,5,3,8,3,3,7,1,8,4,3,8
19,Male,Construction,Managers - Specialist Managers,5,4,4,5,3,5,4,5,5,3,8,3,2,8,1,8,4,3,8
20,Female,Retail Trade,Sales workers - Sales Support Workers,4,2,2,4,4,4,5,4,4,2.5,8,3,2.5,8,0.5,8,3,4.5,8
21,Female,Construction,Community and personal service workers - Hospitality Workers,4,4,4,4,5,4,5,4,4,8,2,1,5,8,2,10,8,2,2
22,Male,Accommodation and Food,Managers - Specialist Managers,4,4,4,5,4,4,5,5,5,1,2,5,8,8,1,8,4,3,8
23,Male,Wholesale Trade,Managers - Specialist Managers,3,4,4,3,3,2,3,3,4,2,8,3,3,8,0,8,5,3,8
24,Male,Wholesale Trade,Managers - Specialist Managers,5,5,5,5,2,1,3,5,5,1,4,6,6,7,0,4,8,4,8
25,Female,Education and Training,Clerical and administrative workers - General Clerical Workers,5,5,5,5,5,5,5,5,5,2,8,4,4,6,1,8,3,4,8
26,Male,Wholesale Trade,Managers - Specialist Managers,5,5,5,5,3,4,4,3,4,1,4,0,11,8,1,4,0,11,8
27,Female,Wholesale Trade,Clerical and administrative workers - General Clerical Workers,5,3,5,3,5,5,5,5,5,1,8,4,3,8,1,8,4,3,8
28,Male,Wholesale Trade,"Managers - Chief Executives, General Managers and Legislators",4,4,4,3,4,4,4,4,4,1,8,3,5,7,2,8,3,3,8
29,Female,Financial and Insurance,Clerical and administrative workers - Clerical and Office Support Workers,5,5,5,5,5,5,5,5,5,2,8,2,4,8,2,8,2,6,6
30,Female,Financial and Insurance,Professionals - ICT Professionals,4,5,5,5,5,5,4,4,4,3.5,7.5,1,2,10,0,9,3,2,10
31,Female,Other Services,Technicians and trades workers - Skilled Animal and Horticultural Workers,3,3,2,3,3,4,4,4,4,1,6,4,6,7,1,7,4.5,4.5,7
32,Female,Information Media and Telecommunications,Professionals - ICT Professionals,5,5,5,1,4,5,5,4,5,2,8,1,4,9,1,8,1,6,8
33,Female,Construction,Professionals - Education Professionals,3,4,5,3,3,3,3,4,4,2,8,4,2,8,2,8,3,3,8
34,I would rather not say,"Professional, Scientific and Technical",Professionals - ICT Professionals,5,5,5,5,3,5,4,4,4,2,7,2,6,7,0,9,2,6,7
35,Male,"Rental, Hiring and Real Estate","Managers - Chief Executives, General Managers and Legislators",4,3,3,4,3,3,2,4,2,1.5,8,1,6.5,7,0.5,6,1,9.5,7
36,Male,Manufacturing,"Managers - Chief Executives, General Managers and Legislators",4,4,4,5,4,4,4,5,4,1.5,8.5,2,4,8,0,8.5,2,5.5,8
37,Male,Other Services,Managers - Specialist Managers,3,5,5,2,2,4,2,4,5,3,8,1,4,8,0,10,1,5,8
38,Male,"Transport, Postal and Warehousing","Managers - Chief Executives, General Managers and Legislators",4,4,4,4,4,1,4,4,4,2,7,4,3,8,2,7,3,4,8
39,Male,"Agriculture, Forestry and Fishing","Managers - Chief Executives, General Managers and Legislators",3,4,5,4,4,5,4,5,5,2.5,8.5,2,3.5,7.5,0,8.5,2.5,5,8
40,Female,Retail Trade,"Professionals - Design, Engineering, Science and Transport Professionals",4,5,4,5,4,5,5,4,5,16,3,3,1,1,16,3,3,1,1
41,Male,"Professional, Scientific and Technical","Professionals - Legal, Social and Welfare Professionals",5,4,4,5,3,4,4,5,4,1,8,3,5,7,1,8,3,5,7
42,Male,"Professional, Scientific and Technical",Professionals - Health Professionals,5,5,5,1,5,5,5,5,5,1,7,1,7,8,1,7,1,7,8
43,Male,Construction,"Professionals - Design, Engineering, Science and Transport Professionals",3,3,3,4,2,4,3,4,4,4,8,1,4,7,0,10,1.5,4.5,8
44,Female,Information Media and Telecommunications,Professionals - ICT Professionals,4,4,4,4,3,2,4,2,2,2,8,2,6,6,1,8,3,4,8
45,Female,"Professional, Scientific and Technical","Professionals - Design, Engineering, Science and Transport Professionals",4,4,4,4,4,4,4,4,2,0.25,8,2,5,8.75,0,8,3,5,8
46,Female,Wholesale Trade,Clerical and administrative workers - Office Managers and Program Administrators,4,2,4,4,3,2,2,3,4,2,10,2,2,8,0.5,10,2,4,7.5
47,Male,Financial and Insurance,"Professionals - Business, Human Resource and Marketing Professionals",4,3,3,4,4,4,3,4,4,3,9,1,3,8,1,11,1,3,8
48,Female,"Rental, Hiring and Real Estate","Managers - Chief Executives, General Managers and Legislators",4,4,3,4,3,4,4,4,4,2,8,3,3,8,3,8,3,2,8
49,Male,Manufacturing,Professionals - ICT Professionals,5,5,5,5,4,5,4,4,4,2,8,5,3,6,0,10,5,3,6
50,Male,Financial and Insurance,"Professionals - Business, Human Resource and Marketing Professionals",4,4,5,4,4,4,4,4,4,3,7,3,3,8,1,8,4,4,7
51,Male,Retail Trade,"Managers - Chief Executives, General Managers and Legislators",4,2,3,3,3,4,4,3,4,2,10,2,3,7,1,12,2,4,5
52,Male,Information Media and Telecommunications,Professionals - ICT Professionals,3,3,3,3,3,3,3,3,3,10,2,2,2,8,8,2,2,4,8
53,Male,Financial and Insurance,Professionals - ICT Professionals,4,3,4,3,3,4,4,3,3,2,8,3,4,7,0,9,4,4,7
54,Female,Arts and Recreation,Professionals - Arts and Media Professionals,5,5,5,3,5,5,5,5,5,0,9,4,4,7,0,9,4,4,7
55,Male,Information Media and Telecommunications,"Managers - Chief Executives, General Managers and Legislators",4,4,5,5,4,5,5,4,5,2,8,3,3,8,2,8,2,4,8
56,Male,Information Media and Telecommunications,Professionals - ICT Professionals,5,5,5,2,3,5,4,5,5,2,8,2,4,8,0,9,3,4,8
57,Male,Information Media and Telecommunications,Professionals - ICT Professionals,4,5,5,5,5,4,5,5,5,3,7,4,3,7,3,7,3,4,7
58,Female,Retail Trade,Managers - Specialist Managers,5,3,4,4,5,4,3,5,4,3,7,5,2,7,1,6,5,3,9
59,Male,Retail Trade,Technicians and trades workers - Electrotechnology and Telecommunications Trades Workers,3,4,4,4,3,4,3,4,4,2,8,4,4,6,1,9,4,4,6
60,Male,Information Media and Telecommunications,Professionals - ICT Professionals,4,2,2,3,4,5,5,5,4,3,8,3,2,8,0,9,4,3,8
61,Male,Administrative and Support,"Managers - Chief Executives, General Managers and Legislators",5,5,5,3,4,5,4,4,4,1,8,3,5,7,0,8,3,4,9
62,Male,Other Services,Managers - Specialist Managers,5,5,5,5,5,5,5,5,5,2,9,2,3,8,2,9,3,2,8
63,Female,Retail Trade,"Managers - Hospitality, Retail and Service Managers",5,5,5,3,5,5,5,5,5,0,3,4,6,11,0,4,3,6,11
64,Male,"Professional, Scientific and Technical","Professionals - Design, Engineering, Science and Transport Professionals",5,3,4,1,4,4,3,3,2,2,8,2,4,8,0.5,10,2,3.5,8
65,Male,Financial and Insurance,"Professionals - Business, Human Resource and Marketing Professionals",4,4,4,4,3,5,4,4,4,1.5,7.5,2,5,8,0,7.5,2,6.5,8
66,Male,"Professional, Scientific and Technical","Professionals - Design, Engineering, Science and Transport Professionals",3,2,2,4,2,3,2,2,2,2,8,4,3,7,0.5,7,5,4.5,7
67,Male,"Rental, Hiring and Real Estate","Managers - Chief Executives, General Managers and Legislators",3,4,4,3,3,4,4,4,3,1,5,5,5,8,0,6,6,5,7
68,Female,Other Services,"Professionals - Design, Engineering, Science and Transport Professionals",4,3,3,5,5,4,4,4,4,2.5,8,2,4,7.5,1.5,8,3,4,7.5
69,Female,Public Administration and Safety,Professionals - Education Professionals,4,3,2,4,2,2,1,1,2,3,8,1,4,8,0.5,8,1.5,5,9
70,Female,Health Care and Social Assistance,Professionals - Health Professionals,4,4,4,4,5,5,5,5,5,2,9,3,2,8,0.5,10.5,3,2,8
71,Male,"Agriculture, Forestry and Fishing",Technicians and trades workers - Skilled Animal and Horticultural Workers,4,4,4,3,4,3,4,4,4,2,8,0,5,9,6,8,4,3,3
72,Female,Education and Training,Professionals - Education Professionals,5,1,1,5,1,1,3,1,3,2.5,9,1.5,4,7,0,2,2,13,7
73,Male,Retail Trade,"Managers - Hospitality, Retail and Service Managers",3,4,4,4,3,3,3,4,5,0,,8,7,9,5,0,5,14,0
74,Male,Public Administration and Safety,Clerical and administrative workers - Personal Assistants and Secretaries,5,5,5,4,5,5,5,5,4,2,8,3,4,7,1,9,4,3,7
75,Female,Health Care and Social Assistance,"Professionals - Legal, Social and Welfare Professionals",1,1,2,4,2,4,1,1,5,3.5,8,4,2.5,6,0.5,8.5,4,5,6
76,Male,Financial and Insurance,Managers - Specialist Managers,5,5,5,5,4,4,5,4,4,2.5,8,3,1,9.5,0,8,4,2,10
77,Male,Public Administration and Safety,Professionals - ICT Professionals,4,3,3,3,4,3,3,3,3,2,8,2,5,7,0.5,9,2.5,5,7
78,Male,"Professional, Scientific and Technical",Managers - Specialist Managers,5,5,5,5,4,4,4,4,4,1,8,0,9,6,2,8,4,4,6
79,Female,Health Care and Social Assistance,Clerical and administrative workers - Office Managers and Program Administrators,5,1,5,3,4,5,2,5,5,3,9,1,4,7,0.5,9,1.5,5,8
80,Female,Health Care and Social Assistance,Community and personal service workers - Health and Welfare Support Workers,3,4,4,2,2,2,1,2,1,1,7,3,6,7,2,7,4,4,7
81,Female,Financial and Insurance,Professionals - Health Professionals,3,3,3,3,3,3,3,3,3,0,20,0,0,4,0,16,0,0,8
82,Female,"Rental, Hiring and Real Estate",Managers - Specialist Managers,4,5,4,3,3,3,2,3,4,6,9,2,2,5,0,12,2,2,8
83,Male,"Transport, Postal and Warehousing",Clerical and administrative workers - General Clerical Workers,4,4,4,4,4,4,4,4,4,1,12,2,1,8,0.5,12,2,1.5,8
84,Female,Retail Trade,"Managers - Chief Executives, General Managers and Legislators",3,3,4,5,1,4,2,4,3,3,12,1,2,6,1.5,12,1,2.5,7
85,Male,"Professional, Scientific and Technical","Professionals - Business, Human Resource and Marketing Professionals",5,5,5,5,3,5,5,5,5,1,7,2,6,8,0,7,3,6,8
86,Female,Public Administration and Safety,Managers - Specialist Managers,1,1,1,1,2,5,4,1,5,1,8.5,6,2,6.5,0,8,6,3,7
87,Female,"Rental, Hiring and Real Estate",Professionals - Education Professionals,4,3,4,5,4,4,5,5,4,3,7,3,5,6,1,7,5,5,6
88,Female,"Professional, Scientific and Technical","Professionals - Business, Human Resource and Marketing Professionals",3,3,4,5,3,4,2,5,4,0.5,10,3,2,8.5,0,12,2,2,8
89,Male,Construction,Technicians and trades workers - Construction Trades Workers,5,3,1,1,5,3,4,5,5,3,7,2,3,9,0,9,3,3,9
90,Male,Education and Training,Managers - Specialist Managers,3,4,4,3,2,2,2,4,2,1,6,5,6,6,1,6,5,6,6
91,Female,Manufacturing,Managers - Specialist Managers,1,1,1,5,1,1,1,1,1,1,12,4,0,7,0,8,8,0,8
92,Female,Wholesale Trade,Clerical and administrative workers - Office Managers and Program Administrators,4,3,3,2,3,3,3,3,3,5,5,5,9,,2,10,2,2,8
93,Male,Public Administration and Safety,"Professionals - Legal, Social and Welfare Professionals",2,4,3,4,4,4,5,4,3,2,8,1,7,6,0,8,1,8,7
94,Male,Information Media and Telecommunications,Professionals - ICT Professionals,4,3,4,4,4,4,3,4,4,4,4,5,6,5,4,4,5,5,6
95,Female,"Professional, Scientific and Technical","Professionals - Business, Human Resource and Marketing Professionals",4,5,5,1,5,3,5,5,4,0,10,2,4,8,0,10,3,3,8
96,Female,Accommodation and Food,"Managers - Hospitality, Retail and Service Managers",5,5,5,5,5,4,4,4,4,1,8,3,4,8,0,8,4,4,8
97,Female,Administrative and Support,Managers - Farmers and Farm Managers,4,3,4,2,1,2,3,2,1,5,6,2,5,6,5,6,7,3,3
98,Female,Accommodation and Food,"Managers - Chief Executives, General Managers and Legislators",5,5,5,3,4,5,3,5,4,1.5,7,1.5,6,8,0,6,4,6,8
99,Male,Financial and Insurance,Clerical and administrative workers - General Clerical Workers,3,3,4,2,3,3,3,4,4,1,9,3,3,8,2,10,2,1,9
100,Male,Retail Trade,"Managers - Hospitality, Retail and Service Managers",5,3,4,5,4,3,5,5,4,6,4,4,4,6,2.5,2.5,5,6,8
101,Female,Education and Training,Professionals - Education Professionals,4,5,4,3,4,3,4,5,4,2,6,5,3,8,3,6,5,3,7
102,Female,"Electricity, Gas, Water and Waste",Community and personal service workers - Hospitality Workers,2,1,1,2,1,3,2,3,2,2,6,2,6,8,4,8,2,4,6
103,Female,Other Services,Clerical and administrative workers - Personal Assistants and Secretaries,5,4,4,5,5,4,4,5,4,1,8,3,3,9,0,6,4,4,10
104,Female,Financial and Insurance,Clerical and administrative workers - General Clerical Workers,5,5,5,5,5,5,5,5,5,2,8,2,4,8,2,8,2,6,6
105,Female,Other Services,Professionals - Arts and Media Professionals,2,2,2,3,5,4,5,4,4,2,8,3,5,6,0,6,4,7,7
106,Female,Retail Trade,Sales workers - Sales Assistants and Salespersons,3,4,4,2,1,3,3,2,1,6,7,3,3,5,2,8,4,5,5
107,Female,Retail Trade,"Managers - Hospitality, Retail and Service Managers",4,4,4,4,4,4,4,4,4,6,6,4,2,6,6,6,4,2,6
108,Female,Financial and Insurance,"Professionals - Legal, Social and Welfare Professionals",5,5,4,2,2,4,4,5,5,3,7,,6,8,,7,,9,8
109,Female,Accommodation and Food,"Managers - Chief Executives, General Managers and Legislators",5,4,5,4,5,4,4,4,4,1,8,3,4,8,0,9,3,4,8
110,Female,"Professional, Scientific and Technical","Professionals - Design, Engineering, Science and Transport Professionals",5,4,5,5,5,5,5,5,4,1.5,8,4,3,7.5,0.5,8,4,4,7.5
111,Female,Construction,Managers - Specialist Managers,4,3,3,4,3,4,4,4,4,3,6,3,5,7,2,6,6,4,6
112,Female,"Transport, Postal and Warehousing","Professionals - Design, Engineering, Science and Transport Professionals",4,2,2,5,5,2,5,5,3,4,8,2,2,8,4,8,2,2,8
113,Female,Retail Trade,"Managers - Hospitality, Retail and Service Managers",3,3,3,3,3,3,3,3,3,1,8,4,2,9,1,8,4,2,9
114,Female,Financial and Insurance,Clerical and administrative workers - Other Clerical and Administrative Workers,3,4,4,4,4,3,4,4,4,2,8,4,4,6,0.5,8,4,4,7.5
115,Male,Financial and Insurance,Managers - Specialist Managers,4,4,4,5,3,5,5,4,5,4,9,2,3,6,0,10,3,3,8
116,Female,Retail Trade,"Managers - Hospitality, Retail and Service Managers",4,3,4,4,4,3,4,4,3,6,4,6,4,4,9,7,2,4,2
117,Female,Health Care and Social Assistance,Professionals - Health Professionals,4,3,5,4,3,4,3,5,3,1,8,4,4,7,1,8,4,4,7
118,Male,Other Services,Clerical and administrative workers - General Clerical Workers,5,4,4,4,2,4,4,4,4,2,7,0,8,7,0,7,0,7,10
119,Male,Information Media and Telecommunications,Professionals - ICT Professionals,3,3,3,3,3,4,5,5,5,4,4,5,5,6,5,5,4,4,6
120,Female,Public Administration and Safety,Clerical and administrative workers - Clerical and Office Support Workers,5,1,1,5,5,5,5,5,5,1,8,3,4,8,0.3,8,3.7,5,7
121,Female,Information Media and Telecommunications,"Professionals - Business, Human Resource and Marketing Professionals",4,4,4,4,3,4,4,2,4,1,8,4,5,6,0,8,5,5,6
122,Male,Education and Training,"Managers - Chief Executives, General Managers and Legislators",5,5,5,5,5,5,5,5,3,5,9,2,2,6,0,10,4,3,7
123,Female,Education and Training,Managers - Specialist Managers,4,5,5,2,5,5,5,5,5,2,7,3,4,8,0.5,9,2,4.5,8
124,Male,Financial and Insurance,Managers - Specialist Managers,4,5,4,4,5,4,4,4,4,2,8,2,2,10,2,8,2,4,8
125,Male,Accommodation and Food,"Managers - Hospitality, Retail and Service Managers",4,4,5,5,4,4,4,5,4,1,2,5,8,8,1,8,4,3,8
126,Male,Health Care and Social Assistance,"Managers - Hospitality, Retail and Service Managers",4,4,4,4,3,3,3,4,3,2,7.5,4,4.5,6,2,7.5,4,4.5,6
127,Male,Information Media and Telecommunications,Managers - Specialist Managers,4,5,5,5,5,3,2,3,5,3,8,1,4,8,1,8,2,5,8
128,Male,Manufacturing,Machinery operators and drivers - Storepersons,2,2,3,2,3,3,4,3,3,2,5,5,5,7,5,5,5,5,4
129,Male,Retail Trade,"Managers - Chief Executives, General Managers and Legislators",4,4,3,5,5,3,4,5,3,2,8,3,3,8,2,2,4,8,8
130,Male,Financial and Insurance,Managers - Specialist Managers,4,4,4,4,4,2,2,2,2,3,8,3,2,8,0,7.5,3.5,4,9
131,Female,Health Care and Social Assistance,Clerical and administrative workers - General Clerical Workers,3,3,3,4,2,3,4,4,3,1,9,,6,8,1,8,1,6,8
132,Male,"Professional, Scientific and Technical",Professionals - ICT Professionals,4,5,5,3,5,5,5,5,5,2,7.5,3,4,7.5,0,8.5,3,5,7.5
133,Male,Retail Trade,Sales workers - Sales Assistants and Salespersons,3,1,1,1,3,3,3,3,3,2,8,,5,9,0,8,,6,10
134,Female,Administrative and Support,Sales workers - Sales Representatives and Agents,2,1,1,4,4,4,4,4,4,3,8,3,2,8,0,8,3,5,8
135,Female,Financial and Insurance,"Professionals - Business, Human Resource and Marketing Professionals",5,5,5,2,5,5,4,5,2,1.5,8.5,1,5,8,1,8,1,6,8
136,Female,Education and Training,Professionals - Education Professionals,3,4,2,5,1,2,1,2,2,1,10.5,3,1.5,8,0.5,8.5,3,3,9
137,Male,Retail Trade,"Managers - Chief Executives, General Managers and Legislators",4,5,5,4,4,5,4,4,3,5,8,2,1,8,5,8,2,1,8
138,Female,Other Services,Sales workers - Sales Assistants and Salespersons,5,5,5,5,1,5,1,5,5,3,8,3,2,8,0.5,8,5,3,7.5
139,Male,Public Administration and Safety,"Professionals - Business, Human Resource and Marketing Professionals",5,4,4,5,3,5,4,4,5,2,7.5,3.5,3,8,0,7.5,3.5,5,8
140,Male,Accommodation and Food,Technicians and trades workers - Food Trades Workers,4,1,4,4,4,4,4,4,4,2,6,2,4,10,3,6,2,3,10
141,Male,Construction,"Managers - Chief Executives, General Managers and Legislators",4,3,4,5,3,3,4,4,4,1,5,2,8,8,8,3,2,3,8
142,Female,Financial and Insurance,"Professionals - Business, Human Resource and Marketing Professionals",4,4,4,4,4,4,5,5,5,4,7,2,3,8,0.5,8,2,5.5,8
143,Male,Administrative and Support,Clerical and administrative workers - Office Managers and Program Administrators,5,3,3,3,4,3,4,3,4,3,7,7,,7,1,7,7,,9
144,Female,Retail Trade,Machinery operators and drivers - Storepersons,3,1,1,3,1,1,3,1,2,1.5,5,2,5.5,10,0,5,7,2,10
145,Male,Education and Training,Managers - Specialist Managers,4,4,4,4,4,4,4,4,4,1,8,3,4,8,0.5,8.5,4,3,8
146,Female,"Rental, Hiring and Real Estate",Clerical and administrative workers - Inquiry Clerks and Receptionists,4,3,3,2,3,3,3,3,3,2,8,4,3,7,0.5,8,3,5.5,7
147,Female,Health Care and Social Assistance,Community and personal service workers - Health and Welfare Support Workers,1,2,4,1,1,1,1,1,5,2,8,4,4,6,0.5,8,2.5,5,8
148,Female,Construction,Labourers - Construction and Mining Labourers,4,4,3,4,3,2,3,3,3,2,8,1,5,8,1,8,1,6,8
149,Male,Retail Trade,Managers - Specialist Managers,5,5,5,2,4,4,4,5,4,2,8,2,4,8,0,8,3,5,8
150,Female,"Professional, Scientific and Technical","Professionals - Business, Human Resource and Marketing Professionals",3,1,4,5,2,4,4,2,3,2,8,5,1,8,0,8,5,3,8
151,Female,Manufacturing,"Professionals - Business, Human Resource and Marketing Professionals",3,2,2,4,4,4,4,3,5,2,8,4,2,8,2,8,4,3,7
152,Female,Construction,Clerical and administrative workers - Office Managers and Program Administrators,5,5,4,4,4,4,4,5,4,1,5,4,4,10,1,6,3,4,10
153,Male,"Professional, Scientific and Technical","Technicians and trades workers - Engineering, ICT and Science Technicians",4,2,4,5,4,5,2,4,4,3,8,2,3,8,0,10,4,2,8
154,Male,Retail Trade,Managers - Specialist Managers,4,5,4,5,4,4,5,4,5,4,6,4,2,8,6,8,2,4,4
155,Female,Retail Trade,"Professionals - Business, Human Resource and Marketing Professionals",4,3,4,3,4,4,4,3,4,3,8,1,3,9,0.5,8,1.5,5,9
156,Male,Information Media and Telecommunications,Managers - Specialist Managers,4,2,4,3,3,2,2,2,2,4,5,6,3,6,3,10,6,3,2
157,Male,Retail Trade,Managers - Specialist Managers,5,4,4,5,3,4,4,5,5,8,4,3,4,5,5,4,5,7,3
158,Female,Retail Trade,"Managers - Hospitality, Retail and Service Managers",3,1,1,3,3,3,3,3,3,0.25,10,2.5,3.5,7.7,0,10,2.5,2.5,9
159,Male,Financial and Insurance,"Professionals - Business, Human Resource and Marketing Professionals",3,1,2,4,4,5,4,5,5,2,8,3,2,9,0,6,5,4,9
160,Male,Administrative and Support,"Managers - Chief Executives, General Managers and Legislators",5,5,5,4,4,4,4,3,4,1,8,3,5,7,0,8,3,4,9
161,Male,Administrative and Support,Clerical and administrative workers - Clerical and Office Support Workers,5,4,3,4,4,4,4,4,4,2,7,1,5,9,0,5,1,11,7
162,Female,Health Care and Social Assistance,"Professionals - Legal, Social and Welfare Professionals",1,2,1,5,5,5,4,5,5,2,8,3,2,9,0.5,8,3,3.5,9
163,Female,Arts and Recreation,Clerical and administrative workers - General Clerical Workers,3,3,4,3,3,3,3,3,3,5,10,5,2,2,10,4,5,5,0
164,Male,Financial and Insurance,"Managers - Chief Executives, General Managers and Legislators",5,3,3,3,4,4,4,4,4,2,8,2,4,8,0,8,4,4,8
165,Male,Financial and Insurance,"Professionals - Business, Human Resource and Marketing Professionals",4,2,3,2,4,4,4,5,2,2.5,10,1.5,2,8,0.5,11,1.5,3,8
166,Male,Information Media and Telecommunications,Professionals - ICT Professionals,5,5,4,4,4,5,4,5,5,2,6,0,2,14,2,7,2,7,6
167,Male,Construction,Technicians and trades workers - Construction Trades Workers,3,3,3,3,3,3,3,3,3,2,10,2,3,7,0,10,2,5,7
